id,title,category,aliasList,positionList,url
771,"Germanistik: Literatur, Sprache, Medien (GER), Institut für",institute,[],"['49.01322', '8.41354']",https://www.geistsoz.kit.edu/germanistik/
772,Zentrale Studienberatung (ZSB),facility,[],"['49.01038', '8.41248']",http://www.sle.kit.edu/vorstudium/zib.php
773,"Angewandte Materialien - Angewandte Werkstoffphysik (IAM-AWP), Institut für",institute,[],"['49.10080', '8.43394']",http://www.iam.kit.edu/awp/
774,"Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für",institute,[],"['49.09970', '8.43420']",http://www.iam.kit.edu/wbm/
775,"Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für",institute,[],"['49.00999', '8.41346']",http://www.iam.kit.edu/wk/
776,"Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.96, Institut für",institute,[],"['49.00986', '8.41411']",
777,"Angewandte Materialien – Keramische Werkstoffe und Technologien (IAM-KWT), Institut für",institute,[],"['49.01244', '8.42549']",http://www.iam.kit.edu/km/
778,"Angewandte Materialien – Computational Materials Science (IAM-CMS) , Institut für",institute,[],"['49.00999', '8.41346']",http://www.iam.kit.edu/cms/
779,"Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für",institute,[],"['49.09652', '8.43166']",http://www.iam.kit.edu/ess/
781,449,building,[],"['49.09577', '8.43297']",
782,01.87,building,[],"['49.00510', '8.41154']",
784,Oberer Hörsaal Maschinenbau (10.91),lecturehall,[],"['49.00992', '8.41285']",
785,30.28,building,[],"['49.01296', '8.41222']",
786,01.85,building,[],"['49.00887', '8.41043']",
787,Karlsruhe Decision & Design Laboratory (KD²Lab),facility,[],"['49.00887', '8.41043']",https://www.kd2lab.kit.edu/
788,3300,building,[],"['49.01121', '8.39536']",
789,01.86,building,[],"['49.00631', '8.41061']",
790,"Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd)",facility,[],"['49.00947', '8.41175']",http://www.kit.edu/b1/index.php
