id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
406,601,,"['49.09684', '8.43233']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,601,
407,602,,"['49.09674', '8.43296']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,602,
408,603,,"['49.09685', '8.43333']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,603,
409,604,,"['49.09653', '8.43412']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,604,
410,605,,"['49.09716', '8.43201']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,605,
411,606,,"['49.09729', '8.43239']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,606,
412,607,,"['49.09718', '8.43305']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,607,
413,608,,"['49.09702', '8.43454']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,608,
414,611,,"['49.09838', '8.43287']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,611,
415,614,,"['49.09870', '8.43206']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,614,
416,615,,"['49.09859', '8.43319']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,615,
417,618,,"['49.09805', '8.43475']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,618,
418,620,,"['49.09706', '8.43674']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,620,
419,622,,"['49.09685', '8.43675']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,622,
420,629,,"['49.09719', '8.43553']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,629,
421,630,,"['49.09691', '8.43555']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,630,
422,631,,"['49.09646', '8.43629']",,Service,,Spöcker Straße,76344.0,Leopoldshafen,,,,631,
423,633,,"['49.09678', '8.43503']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,633,
424,640,,"['49.09787', '8.43300']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,640,
425,648,,"['49.10083', '8.43467']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,648,
426,650,,"['49.09833', '8.43515']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,650,
427,660,,"['49.09899', '8.43461']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,660,
428,663,,"['49.09892', '8.43519']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,663,
429,670,,"['49.09945', '8.43485']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,670,
430,679,,"['49.10070', '8.43372']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,679,
431,681,,"['49.10050', '8.43398']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,681,
432,682,,"['49.10022', '8.43385']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,682,
433,686,,"['49.10120', '8.43414']",,,,,,,,,,686,
434,688,,"['49.10080', '8.43652']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,688,
435,689,,"['49.10069', '8.43632']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,689,
436,690,,"['49.10011', '8.43600']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,690,
437,691,,"['49.10021', '8.43523']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,691,
438,692,,"['49.09967', '8.43563']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,692,
439,693,,"['49.10050', '8.43593']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,693,
440,695,,"['49.09993', '8.43350']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,695,
441,696,,"['49.09970', '8.43405']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,696,
442,701,,"['49.10091', '8.43171']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,701,
443,702,,"['49.10141', '8.43149']",,,,,,,,,,702,
444,704,,"['49.10151', '8.43181']",,,,,,,,,,704,
445,705,,"['49.10149', '8.43237']",,,,,,,,,,705,
446,706,,"['49.10156', '8.43203']",,,,,,,,,,706,
447,707,,"['49.10174', '8.43143']",,,,,,,,,,707,
448,708,,"['49.10097', '8.43265']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,708,
449,712,,"['49.10182', '8.42906']",,,,,,,,,,712,
450,713,,"['49.10128', '8.43000']",,,,,,,,,,713,
451,714,,"['49.10151', '8.42858']",,,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,714,
452,715,,"['49.10211', '8.42885']",,,,,,,,,,715,
453,716,,"['49.10223', '8.42905']",,,,,,,,,,716,
454,717,,"['49.10170', '8.43084']",,,,,,,,,,717,
455,718,,"['49.10253', '8.42817']",,,,,,,,,,718,
456,719,,"['49.10121', '8.43084']",,,,,,,,,,719,
457,721,,"['49.10281', '8.43261']",,,,,,,,,,721,
458,723,,"['49.10269', '8.43175']",,,,,,,,,,723,
459,724,,"['49.10293', '8.43197']",,,,,,,,,,724,
460,725,,"['49.10298', '8.43322']",,,,,,,,,,725,
461,726,,"['49.10227', '8.43219']",,,,,,,,,,726,
462,727,,"['49.10222', '8.43292']",,,,,,,,,,727,
463,729,,"['49.10265', '8.43313']",,,,,,,,,,729,
464,730,,"['49.10253', '8.43335']",,,,,,,,,,730,
465,732,,"['49.10215', '8.43241']",,,,,,,,,,732,
466,733,,"['49.10325', '8.43217']",,,,,,,,,,733,
467,736,,"['49.10199', '8.43207']",,,,,,,,,,736,
468,739,,"['49.10336', '8.43076']",,,,,,,,,,739,
469,740,,"['49.10241', '8.43079']",,,,,,,,,,740,
470,741,,"['49.10343', '8.42945']",,,,,,,,,,741,
471,742,,"['49.10333', '8.42982']",,,,,,,,,,742,
472,744,,"['49.10307', '8.42952']",,,,,,,,,,744,
473,745,,"['49.10317', '8.42991']",,,,,,,,,,745,
474,752,,"['49.10402', '8.42868']",,,,,,,,,,752,
475,754,,"['49.10291', '8.42841']",,,,,,,,,,754,
476,755,,"['49.10281', '8.42889']",,,,,,,,,,755,
477,757,,"['49.10365', '8.42979']",,,,,,,,,,757,
478,758,,"['49.10286', '8.42983']",,,,,,,,,,758,
479,760,,"['49.10358', '8.42899']",,,,,,,,,,760,
480,768,,"['49.10355', '8.42996']",,,,,,,,,,768,
481,769,,"['49.10337', '8.43009']",,,,,,,,,,769,
482,801,,"['49.10251', '8.43543']",,,,,,,,,,801,
483,802,,"['49.10227', '8.43649']",,,,,,,,,,802,
484,803,,"['49.10288', '8.43598']",,,,,,,,,,803,
485,804,,"['49.10289', '8.43672']",,,,,,,,,,804,
486,805,,"['49.10335', '8.43573']",,,,,,,,,,805,
487,806,,"['49.10340', '8.43683']",,,,,,,,,,806,
488,807,,"['49.10416', '8.43618']",,,,,,,,,,807,
489,808,,"['49.10307', '8.43500']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,808,
490,809,,"['49.10394', '8.43490']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,809,
491,901,,"['49.10423', '8.43250']",,,,,,,,,,901,
492,902,,"['49.10427', '8.43210']",,,,,,,,,,902,
493,903,,"['49.10443', '8.43258']",,,,,,,,,,903,
494,904,,"['49.10456', '8.43254']",,,,,,,,,,904,
495,905,,"['49.10475', '8.43260']",,,,,,,,,,905,
496,907,,"['49.10483', '8.43132']",,,,,,,,,,907,
497,908,,"['49.10494', '8.43104']",,,,,,,,,,908,
498,910,,"['49.10520', '8.43311']",,,,,,,,,,910,
499,911,,"['49.10482', '8.43337']",,,,,,,,,,911,
500,912,,"['49.10470', '8.43335']",,,,,,,,,,912,
501,913,,"['49.10452', '8.43357']",,,,,,,,,,913,
502,914,,"['49.10442', '8.43315']",,,,,,,,,,914,
503,915,,"['49.10407', '8.43320']",,,,,,,,,,915,
504,916,,"['49.10402', '8.43287']",,,,,,,,,,916,
505,917,,"['49.10381', '8.43260']",,,,,,,,,,917,
506,918,,"['49.10373', '8.43298']",,,,,,,,,,918,
507,920,,"['49.10424', '8.43141']",,,,,,,,,,920,
508,935,,"['49.10416', '8.42909']",,,,,,,,,,935,
509,937,,"['49.10299', '8.43101']",,,,,,,,,,937,
510,9607,,"['49.09860', '8.42964']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,9607,
511,9608,,"['49.09908', '8.42986']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,9608,
512,9611,,"['49.09727', '8.43456']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,9611,
513,9612,,"['49.09726', '8.43480']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,9612,
514,9627,,"['49.09516', '8.43268']",,,,Weingartener Straße 434,76344.0,Leopoldshafen,,,,9627,
515,9637,,"['49.09913', '8.42732']",,Service,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,9637,
516,9642,,"['49.09641', '8.42843']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,9642,
517,9644,,"['49.09613', '8.42701']",,Feuerwehr,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,9644,
518,9645,,"['49.09925', '8.42758']",,Service,,"Linkenheimer Straße, Kerntechnische Entsorgung Karlsruhe GmbH",76344.0,Leopoldshafen,,,,9645,
519,9652,,"['49.09540', '8.43536']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,9652,
520,9653,,"['49.09515', '8.43509']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,9653,
521,9657,,"['49.09972', '8.42981']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,9657,
522,9670,,"['49.10268', '8.42953']",,,,,,,,,,9670,
523,B524,,"['49.09899', '8.42903']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,B524,
524,223/1,,"['49.09210', '8.42962']",,Service,,Büchenauer Straße,76344.0,Leopoldshafen,,,,223/1,
525,919 A,,"['49.10362', '8.43258']",,,,,,,,,,919 A,
526,B568,,"['49.10068', '8.42836']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,B568,
527,260/1,,"['49.09245', '8.43414']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,260/1,
528,B934,,"['49.10375', '8.43120']",,,,,,,,,,B934,
529,B569,,"['49.10062', '8.42849']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,B569,
530,B254,,"['49.09188', '8.43565']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,B254,
531,B404,,"['49.09404', '8.43218']",,,,Karlsruher Allee 402,76344.0,Leopoldshafen,,,,B404,
532,B402,,"['49.09410', '8.43129']",,,,Karlsruher Allee 5402,76344.0,Leopoldshafen,,,,B402,
533,9633 B,,"['49.09333', '8.43613']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,9633 B,
534,441/1,,"['49.09644', '8.43172']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,441/1,
535,B131,,"['49.09184', '8.42620']",,Bildungszentrum,Fortbildungszentrum für Technik und Umwelt,Hermann-von-Helmholtz-Platz 101,76344.0,Leopoldshafen,,,,B131,
536,919 B,,"['49.10356', '8.43302']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,919 B,
537,B621,,"['49.09701', '8.43633']",,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,B621,
538,9633 A,,"['49.09320', '8.43592']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,9633 A,
539,B523,,"['49.09903', '8.43074']",,,,,,,,,,B523,
540,B252,,"['49.09181', '8.43317']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,B252,
541,406/2,,"['49.09409', '8.43305']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,406/2,
542,401 A,,"['49.09430', '8.43075']",,,,Karlsruher Allee 401,76344.0,Leopoldshafen,,,,401 A,
543,Institut für Technische Thermodynamik und Kältetechnik,Institut,"['49.01453', '8.41733']",,,"Tech.Thermodyn.u.Kältetechn./ Mess-u.Regelungstechn., Institutsgeb.",Engler-Bunte-Ring 21,76131.0,Innenstadt-Ost,,,,"Technische Thermodynamik und Kältetechnik, Institut für",
544,Institut für Nanotechnologie (INT),Institut,"['49.09786', '8.43289']",https://www.int.kit.edu,,,,,,,,,"Nanotechnologie (INT), Institut für",
545,"Institut für Prozessrechentechnik, Automation und Robotik (IPR)",Institut,"['49.01389', '8.41951']",https://rob.ipr.kit.edu,,Informatikbau,Am Fasanengarten 5,76131.0,Oststadt,"Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off",yes,,"Prozessrechentechnik, Automation und Robotik (IPR), Institut für",
546,"Kunst- und Baugeschichte (IKB), Institut",Institut,"['49.01111', '8.41109']",https://www.arch.kit.edu/institute/ikb.php,Auditorium,Fritz Haller,Englerstraße,76131.0,Innenstadt-Ost,,,,"Kunst- und Baugeschichte (IKB), Institut",
548,Institut für Bodenmechanik und Felsmechanik (IBF),Institut,"['49.01407', '8.41570']",https://ibf.webarchiv.kit.edu,,,Engler-Bunte-Ring 14,76131.0,Innenstadt-Ost,,,,"Bodenmechanik und Felsmechanik (IBF) , Institut für",
549,Institut für Physikalische Chemie,Institut,"['49.01206', '8.41444']",https://www.ipc.kit.edu,,Chemie-Turm II,Fritz-Haber-Weg 2,76131.0,Innenstadt-Ost,,,,"Physikalische Chemie, Institut für",
550,Deutsch-Französisches Institut für Umweltforschung (DFIU),Institut,"['49.02144', '8.36683']",https://www.dfiu.kit.edu,,Westhochschule,Hertzstraße 16,76187.0,Nordweststadt,,,,Deutsch-Französisches Institut für Umweltforschung (DFIU),
551,Institut für Produktionstechnik (wbk),Institut,"['49.01493', '8.41964']",https://www.wbk.kit.edu,,wbk Institut für Produktionstechnik,Gotthard-Franz-Straße 5,76131.0,Oststadt,,,,"Produktionstechnik (wbk), Institut für",
552,Institut für Regelungs- und Steuerungssysteme,Institut,"['49.01103', '8.41217']",https://www.irs.kit.edu/,,Englervilla,Wilhelm-Jordan-Weg 1,76131.0,Innenstadt-Ost,,no,,"Regelungs- und Steuerungssysteme, Institut für",
554,Institut für Thermische Strömungsmaschinen,Institut,"['49.01253', '8.41661']",https://www.its.kit.edu,,Altes Maschinenbaugebäude,Engelbert-Arnold-Straße 4,76131.0,Innenstadt-Ost,,,,"Thermische Strömungsmaschinen, Institut für",
554,Institut für Thermische Strömungsmaschinen,Institut,"['49.00990', '8.41322']",https://www.its.kit.edu,,Altes Maschinenbaugebäude,Engelbert-Arnold-Straße 4,76131.0,Innenstadt-Ost,,,,"Thermische Strömungsmaschinen, Institut für",
555,Institut für Funktionelle Grenzflächen (IFG),Institut,"['49.09637', '8.42575']",https://www.ifg.kit.edu,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,"Funktionelle Grenzflächen (IFG), Institut für",
556,Institut für Experimentelle Teilchenphysik (ETP),Institut,"['49.01293', '8.41110']",https://www.etp.kit.edu/index.php,,Physik-Hochhaus,Wolfgang-Gaede-Straße 1,76131.0,Innenstadt-Ost,,limited,,"Experimentelle Teilchenphysik (ETP), Institut für",
557,Institut für Biologische und Chemische Systeme (IBCS),Institut,"['49.09496', '8.42757']",https://www.itg.kit.edu/,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,Institut für Biologische und Chemische Systeme (IBCS),
558,Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT),Institut,"['49.01400', '8.41489']",https://www.vbt.uni-karlsruhe.de,,Engler-Bunte-Institut (EBI),Engler-Bunte-Ring 1a,76131.0,Innenstadt-Ost,,,,Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT),
559,Institut für Technische Thermodynamik,Institut,"['49.00990', '8.41322']",https://www.itt.kit.edu,,,Wilhelm-Nusselt-Weg,76131.0,Innenstadt-Ost,,yes,,"Technische Thermodynamik, Institut für",
560,Institut für Biomedizinische Technik,Institut,"['49.01226', '8.41320']",https://www.ibt.kit.edu,Auditorium,MTI-Hörsaal,Fritz-Haber-Weg,76131.0,Innenstadt-Ost,,,,"Biomedizinische Technik, Institut für",
561,Institut für Fahrzeugsystemtechnik,Institut,"['49.02189', '8.42923']",https://www.fast.kit.edu,,Lernfreunde-Haus,Rintheimer Querallee 2,76131.0,Rintheim,,,,"Fahrzeugsystemtechnik, Institut für",
562,Institut für Mikrostrukturtechnik (IMT),Institut,"['49.09449', '8.42954']",https://www.imt.kit.edu,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,"Mikrostrukturtechnik (IMT), Institut für",
563,Geophysikalisches Institut (GPI),Institut,"['49.02109', '8.36599']",https://www.gpi.kit.edu,,Westhochschule,Hertzstraße 16,76187.0,Nordweststadt,,,,Geophysikalisches Institut (GPI),
565,Institut für Programmstrukturen und Datenorganisation (IPD),Institut,"['49.01389', '8.41951']",https://www.informatik.kit.edu/257.php,,Informatikbau,Am Fasanengarten 5,76131.0,Oststadt,"Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off",yes,,"Programmstrukturen und Datenorganisation (IPD), Institut für",
567,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),Institut,"['49.00894', '8.40949']",https://www.aifb.kit.edu/web/Hauptseite,Parkplatz,Parkgarage Kaiserstraße (KIT),Fritz-Erler-Straße 6,76133.0,Innenstadt-Ost,"Mo-Su,PH 00:00-24:00 open; Mo-Su,PH 02:00-06:00 closed ""nur Ausfahrt möglich""",,,"Angewandte Informatik und Formale Beschreibungsverfahren (AIFB), Institut für",
568,Institut für Analysis,Institut,"['49.01125', '8.40903']",https://www.math.kit.edu/iana,,Kollegiengebäude Mathematik,Englerstraße 2,76131.0,Innenstadt-Ost,,,,"Analysis, Institut für",
569,Institut für Wasser und Umwelt (IWU),Institut,"['49.01065', '8.41518']",https://www.iwu.kit.edu/,Forschung,Institut für Wasser und Gewässerentwicklung - Bereich Wasserwirtschaft und Kulturtechnik,Engesserstraße 22,76131.0,Innenstadt-Ost,,,,"Wasser und Umwelt (IWU), Institut für",
571,Institut für Photonik und Quantenelektronik (IPQ),Institut,"['49.01288', '8.40949']",https://www.ipq.kit.edu,,,Engesserstraße 5,76131.0,Innenstadt-Ost,,,,"Photonik und Quantenelektronik (IPQ), Institut für",
572,Institut für Bio- und Lebensmitteltechnik,Institut,"['49.01415', '8.42662']",https://lvt.blt.kit.edu,Forschungsinstitut,Max Rubner-Institut,Haid-und-Neu-Straße 9,76131.0,Oststadt,,,,"Bio- und Lebensmitteltechnik, Institut für",
574,Institut für Mechanische Verfahrenstechnik und Mechanik (MVM),Institut,"['49.01413', '8.42077']",https://www.mvm.kit.edu,,Kollegiengebäude Bauingenieurwesen III,Gotthard-Franz-Straße 3,76131.0,Oststadt,,yes,Aufzug vorhanden,"Mechanische Verfahrenstechnik und Mechanik (MVM), Institut für",
576,Institut für Baustatik,Institut,"['49.00951', '8.41695']",https://www.ibs.kit.edu,,Bauingenieurshochhaus,Reinhard-Baumeister-Platz 1,76131.0,Innenstadt-Ost,,yes,,"Baustatik, Institut für",
577,Institut für Anthropomatik und Robotik,Institut,"['49.01389', '8.41951']",https://www.informatik.kit.edu/1323.php,,Informatikbau,Am Fasanengarten 5,76131.0,Oststadt,"Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off",yes,,"Anthropomatik und Robotik, Institut für",
578,Geodätisches Institut (GIK),Institut,"['49.01111', '8.41109']",https://www.gik.kit.edu,,Architektur,Englerstraße 7,76131.0,Innenstadt-Ost,,yes,Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe,Geodätisches Institut (GIK),
579,Institut für Hochfrequenztechnik und Elektronik (IHE),Institut,"['49.01288', '8.40949']",https://www.ihe.kit.edu/,,,Engesserstraße 5,76131.0,Innenstadt-Ost,,,,"Hochfrequenztechnik und Elektronik (IHE), Institut für",
580,"Entwerfen, Kunst und Theorie (EKUT), Institut",Institut,"['49.01111', '8.41109']",https://www.arch.kit.edu/institute/ekut.php,,Architektur,Englerstraße 7,76131.0,Innenstadt-Ost,,yes,Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe,"Entwerfen, Kunst und Theorie (EKUT), Institut",
581,Institut für Technikzukünfte - Philosophie,Institut,"['49.00948', '8.39325']",https://www.philosophie.kit.edu/,,,Schlossbezirk 12,76131.0,Innenstadt-Ost,,limited,,"Technikzukünfte - Philosophie, Institut für",
581,Institut für Technikzukünfte - Philosophie,Institut,"['49.01257', '8.40664']",https://www.philosophie.kit.edu/,,,Schlossbezirk 12,76131.0,Innenstadt-Ost,,limited,,"Technikzukünfte - Philosophie, Institut für",
582,Karlsruhe Service Research Institute (KSRI),Institut,"['49.00914', '8.40940']",https://www.ksri.kit.edu/,,Kollegiengebäude am Kronenplatz,Kaiserstraße 89-93,76133.0,Innenstadt-Ost,,,,Karlsruhe Service Research Institute (KSRI),
583,Institut für Sport und Sportwissenschaft,Institut,"['49.01579', '8.41638']",https://www.sport.kit.edu/,,,Engler-Bunte-Ring 15,76131.0,Innenstadt-Ost,,yes,,"Sport und Sportwissenschaft, Institut für",
584,Institut für Theoretische Elektrotechnik und Systemoptimierung (ITE),Institut,"['49.01226', '8.41320']",https://www.ite.kit.edu/,Auditorium,MTI-Hörsaal,Fritz-Haber-Weg,76131.0,Innenstadt-Ost,,,,"Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für",
585,"Angewandte Physik, Institut für (AP)",Institut,"['49.01293', '8.41110']",https://www.aph.kit.edu,,Physik-Hochhaus,Wolfgang-Gaede-Straße 1,76131.0,Innenstadt-Ost,,limited,,"Angewandte Physik, Institut für (AP)",
586,Institut für Technik der Informationsverarbeitung (ITIV),Institut,"['49.01288', '8.40949']",https://www.itiv.kit.edu/,,,Engesserstraße 5,76131.0,Innenstadt-Ost,,,,"Technik der Informationsverarbeitung (ITIV), Institut für",
587,Institut für Strömungsmechanik (ISTM),Institut,"['49.00937', '8.41428']",https://www.istm.kit.edu,,Kollegiengebäude Maschinenbau II,Kaiserstraße 10,76131.0,Innenstadt-Ost,,yes,,"Strömungsmechanik (ISTM), Institut für",
588,Institut für Technische Physik,Institut,"['49.09373', '8.43394']",https://www.itep.kit.edu,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,"Technische Physik, Institut für",
589,Institut für Regionalwissenschaft (IfR),Institut,"['49.00951', '8.41695']",https://www.ifr.kit.edu/,,Bauingenieurshochhaus,Reinhard-Baumeister-Platz 1,76131.0,Innenstadt-Ost,,yes,,"Regionalwissenschaft (IfR) , Institut für",
590,Institut für Mikroverfahrenstechnik (IMVT),Institut,"['49.09714', '8.43186']",https://www.imvt.kit.edu,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,"Mikroverfahrenstechnik (IMVT) , Institut für",
591,Institut für Straßen- und Eisenbahnwesen,Institut,"['49.01027', '8.41561']",https://www.ise.kit.edu/,,Altes Bauingenieurgebäude,Otto-Ammann-Platz 1,76131.0,Innenstadt-Ost,,,,"Straßen- und Eisenbahnwesen, Institut für",
592,Institut für Technologie und Management im Baubetrieb (TMB),Institut,"['49.01413', '8.42077']",https://www.tmb.kit.edu,,Kollegiengebäude Bauingenieurwesen III,Gotthard-Franz-Straße 3,76131.0,Oststadt,,yes,Aufzug vorhanden,"Technologie und Management im Baubetrieb (TMB) , Institut für",
593,Institut für Biologische Grenzflächen (IBG),Institut,"['49.09685', '8.43205']",https://www.ibg.kit.edu,Forschungsinstitut,,"Campus Nord, Leopoldstraße",76131.0,Neureut,,,,"Biologische Grenzflächen (IBG), Institut für",
594,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Institut,"['49.01246', '8.41443']",https://www.jkip.kit.edu/,,Chemie-Turm I,Fritz-Haber-Weg 4,76131.0,Innenstadt-Ost,,,,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),
595,"Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten",Institut,"['49.01547', '8.42037']",https://mab.blt.kit.edu,,Forschungszentrum Umwelt,Adenauerring 20b,76131.0,Oststadt,"Mo-Fr 07:00-18:00; Sa,Su,PH off",,,"Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für",
596,Institut für Theoretische Informatik (ITI),Institut,"['49.01389', '8.41951']",https://www.iti.kit.edu/,,Informatikbau,Am Fasanengarten 5,76131.0,Oststadt,"Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off",yes,,"Theoretische Informatik (ITI), Institut für",
597,Institut für Thermische Verfahrenstechnik,Institut,"['49.00990', '8.41322']",https://www.tvt.kit.edu/,,,Wilhelm-Nusselt-Weg,76131.0,Innenstadt-Ost,,yes,,"Thermische Verfahrenstechnik, Institut für",
598,"Customer Insights, Institute for",Institut,"['49.00514', '8.41155']",https://www.cin.kit.edu/,Büro,,Rüppurrer Straße 1a,76137.0,Südstadt,,,,"Customer Insights, Institute for ",
599,Institut für Algebra und Geometrie,Institut,"['49.01104', '8.40909']",https://www.math.kit.edu/iag,Kunstwerk,Familie von fünf halben Kugeln,Waldhornstraße,76131.0,Innenstadt-Ost,,yes,,"Algebra und Geometrie, Institut für",
600,"Entwerfen von Stadt und Landschaft (IESL), Institut",Institut,"['49.00951', '8.41695']",https://www.arch.kit.edu/institute/iesl.php,,Bauingenieurshochhaus,Reinhard-Baumeister-Platz 1,76131.0,Innenstadt-Ost,,yes,,"Entwerfen von Stadt und Landschaft (IESL), Institut",
601,"Institut für Finanzwirtschaft, Banken und Versicherungen (FBV)",Institut,"['49.01298', '8.37536']",https://www.fbv.kit.edu/,,,Blücherstraße 17,76185.0,Weststadt,,,,"Finanzwirtschaft, Banken und Versicherungen (FBV), Institut für",
604,Lichttechnisches Institut (LTI),Institut,"['49.01171', '8.41303']",https://www.lti.kit.edu,,Institutsgebäude Lichttechnik,Engesserstraße 13,76131.0,Innenstadt-Ost,,,,Lichttechnisches Institut (LTI),
605,Institut für Berufspädagogik und Allgemeine Pädagogik (IBAP),Institut,"['49.02129', '8.36819']",https://www.ibap.kit.edu,,,Hertzstraße 16,76187.0,Nordweststadt,,,,"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",
