id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
236,240,,"['49.09341', '8.43050']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,240,
237,241,,"['49.09275', '8.43012']",,,,Leopoldshafener Allee,76344.0,Leopoldshafen,,,,241,
238,242,,"['49.09253', '8.43087']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,242,
239,243,,"['49.09249', '8.43135']",,Service,,Büchenauer Straße,76344.0,Leopoldshafen,,,,243,
240,244,,"['49.09280', '8.43137']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,244,
241,245,,"['49.09279', '8.43224']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,245,
242,246,,"['49.09200', '8.43170']",,Service,,Büchenauer Straße,76344.0,Leopoldshafen,,,,246,
243,247,,"['49.09296', '8.43104']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,247,
244,248,,"['49.09287', '8.43164']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,248,
245,249,,"['49.09280', '8.43132']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,249,
246,250,,"['49.09217', '8.43178']",,Service,,Büchenauer Straße,76344.0,Leopoldshafen,,,,250,
247,251,,"['49.09245', '8.43313']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,251,
248,252,,"['49.09193', '8.43407']",,Parkplatz,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,252,
249,253,,"['49.09156', '8.43476']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,253,
250,254,,"['49.09161', '8.43514']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,254,
251,255,,"['49.09219', '8.43513']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,255,
252,256,,"['49.09200', '8.43320']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,256,
253,257,,"['49.09235', '8.43350']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,257,
254,258,,"['49.09205', '8.43578']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,258,
255,259,,"['49.09200', '8.43505']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,259,
256,260,,"['49.09241', '8.43435']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,260,
257,261,,"['49.09258', '8.43343']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,261,
258,272,,"['49.09271', '8.43541']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,272,
259,273,,"['49.09266', '8.43471']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,273,
260,274,,"['49.09261', '8.43509']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,274,
261,276,,"['49.09287', '8.43409']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,276,
262,277,,"['49.09252', '8.43572']",,Service,,Neureuter Straße,76344.0,Leopoldshafen,,,,277,
263,278,,"['49.09248', '8.43603']",,Service,,Friedrichstaler Straße,76344.0,Leopoldshafen,,,,278,
264,300,,"['49.09425', '8.42918']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,300,
265,301,,"['49.09452', '8.42965']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,301,
266,302,,"['49.09467', '8.42911']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,302,
267,303,,"['49.09467', '8.42857']",,Bibliothek,KIT-Bibliothek Nord,Karlsruher Allee,76344.0,Leopoldshafen,"Mo-Fr 09:00-12:00, 13:00-15:00; ",,,303,
268,304,,"['49.09482', '8.42743']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,304,
269,305,,"['49.09500', '8.42795']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,305,
270,306,,"['49.09501', '8.42721']",,Service,,Linkenheimer Straße,76344.0,Leopoldshafen,,,,306,
271,307,,"['49.09435', '8.42883']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,307,
272,308,,"['49.09468', '8.42935']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,308,
273,309,,"['49.09411', '8.42910']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,309,
274,310,,"['49.09466', '8.42887']",,Bibliothek,KIT-Bibliothek Nord,Karlsruher Allee,76344.0,Leopoldshafen,"Mo-Fr 09:00-12:00, 13:00-15:00; ",,,310,
